chapter,chapter_title,article,article_title,sub_article,gdpr_text,href,clean_text
1,General provisions,4,Definitions,1,"‘personal data’ means any information relating to an identified or identifiable natural person (‘data subject’); an identifiable natural person is one who can be identified, directly or indirectly, in particular by reference to an identifier such as a name, an identification number, location data, an online identifier or to one or more factors specific to the physical, physiological, genetic, mental, economic, cultural or social identity of that natural person
‘processing’ means any operation or set of operations which is performed on personal data or on sets of personal data, whether or not by automated means, such as collection, recording, organisation, structuring, storage, adaptation or alteration, retrieval, consultation, use, disclosure by transmission, dissemination or otherwise making available, alignment or combination, restriction, erasure or destruction
‘restriction of processing’ means the marking of stored personal data with the aim of limiting their processing in the future
‘profiling’ means any form of automated processing of personal data consisting of the use of personal data to evaluate certain personal aspects relating to a natural person, in particular to analyse or predict aspects concerning that natural person’s performance at work, economic situation, health, personal preferences, interests, reliability, behaviour, location or movements
‘pseudonymisation’ means the processing of personal data in such a manner that the personal data can no longer be attributed to a specific data subject without the use of additional information, provided that such additional information is kept separately and is subject to technical and organisational measures to ensure that the personal data are not attributed to an identified or identifiable natural person
‘filing system’ means any structured set of personal data which are accessible according to specific criteria, whether centralised, decentralised or dispersed on a functional or geographical basis
‘controller’ means the natural or legal person, public authority, agency or other body which, alone or jointly with others, determines the purposes and means of the processing of personal data; where the purposes and means of such processing are determined by Union or Member State law, the controller or the specific criteria for its nomination may be provided for by Union or Member State law
‘processor’ means a natural or legal person, public authority, agency or other body which processes personal data on behalf of the controller
1‘recipient’ means a natural or legal person, public authority, agency or another body, to which the personal data are disclosed, whether a third party or not. 2However, public authorities which may receive personal data in the framework of a particular inquiry in accordance with Union or Member State law shall not be regarded as recipients; the processing of those data by those public authorities shall be in compliance with the applicable data protection rules according to the purposes of the processing
‘third party’ means a natural or legal person, public authority, agency or body other than the data subject, controller, processor and persons who, under the direct authority of the controller or processor, are authorised to process personal data
‘consent’ of the data subject means any freely given, specific, informed and unambiguous indication of the data subject’s wishes by which he or she, by a statement or by a clear affirmative action, signifies agreement to the processing of personal data relating to him or her
‘personal data breach’ means a breach of security leading to the accidental or unlawful destruction, loss, alteration, unauthorised disclosure of, or access to, personal data transmitted, stored or otherwise processed
‘genetic data’ means personal data relating to the inherited or acquired genetic characteristics of a natural person which give unique information about the physiology or the health of that natural person and which result, in particular, from an analysis of a biological sample from the natural person in question
‘biometric data’ means personal data resulting from specific technical processing relating to the physical, physiological or behavioural characteristics of a natural person, which allow or confirm the unique identification of that natural person, such as facial images or dactyloscopic data
‘data concerning health’ means personal data related to the physical or mental health of a natural person, including the provision of health care services, which reveal information about his or her health status
‘main establishment’ means
as regards a controller with establishments in more than one Member State, the place of its central administration in the Union, unless the decisions on the purposes and means of the processing of personal data are taken in another establishment of the controller in the Union and the latter establishment has the power to have such decisions implemented, in which case the establishment having taken such decisions is to be considered to be the main establishment
as regards a processor with establishments in more than one Member State, the place of its central administration in the Union, or, if the processor has no central administration in the Union, the establishment of the processor in the Union where the main processing activities in the context of the activities of an establishment of the processor take place to the extent that the processor is subject to specific obligations under this Regulation
",http://gdpr-info.eu/art-4-gdpr/,personal data mean information relating identified identifiable natural person data subject identifiable natural person one identified directly indirectly particular reference identifier name identification number location data online identifier one factor specific physical physiological genetic mental economic cultural social identity natural person processing mean operation set operation performed personal data set personal data whether automated mean collection recording organisation structuring storage adaptation alteration retrieval consultation use disclosure transmission dissemination otherwise making available alignment combination restriction erasure destruction restriction processing mean marking stored personal data aim limiting processing future profiling mean form automated processing personal data consisting use personal data evaluate certain personal aspect relating natural person particular analyse predict aspect concerning natural person performance work economic situation health personal preference interest reliability behaviour location movement pseudonymisation mean processing personal data manner personal data longer attributed specific data subject without use additional information provided additional information kept separately subject technical organisational measure ensure personal data attributed identified identifiable natural person filing system mean structured set personal data accessible according specific criterion whether centralised decentralised dispersed functional geographical basis controller mean natural legal person public authority agency body alone jointly others determines purpose mean processing personal data purpose mean processing determined union member state law controller specific criterion nomination may provided union member state law processor mean natural legal person public authority agency body process personal data behalf controller recipient mean natural legal person public authority agency another body personal data disclosed whether third party however public authority may receive personal data framework particular inquiry accordance union member state law shall regarded recipient processing data public authority shall compliance applicable data protection rule according purpose processing third party mean natural legal person public authority agency body data subject controller processor person direct authority controller processor authorised process personal data consent data subject mean freely given specific informed unambiguous indication data subject wish statement clear affirmative action signifies agreement processing personal data relating personal data breach mean breach security leading accidental unlawful destruction loss alteration unauthorised disclosure access personal data transmitted stored otherwise processed genetic data mean personal data relating inherited acquired genetic characteristic natural person give unique information physiology health natural person result particular analysis biological sample natural person question biometric data mean personal data resulting specific technical processing relating physical physiological behavioural characteristic natural person allow confirm unique identification natural person facial image dactyloscopic data data concerning health mean personal data related physical mental health natural person including provision health care service reveal information health status main establishment mean regard controller establishment one member state place central administration union unless decision purpose mean processing personal data taken another establishment controller union latter establishment power decision implemented case establishment taken decision considered main establishment regard processor establishment one member state place central administration union processor central administration union establishment processor union main processing activity context activity establishment processor take place extent processor subject specific obligation regulation
1,General provisions,4,Definitions,2,"‘representative’ means a natural or legal person established in the Union who, designated by the controller or processor in writing pursuant to Article 27, represents the controller or processor with regard to their respective obligations under this Regulation
‘enterprise’ means a natural or legal person engaged in an economic activity, irrespective of its legal form, including partnerships or associations regularly engaged in an economic activity
‘group of undertakings’ means a controlling undertaking and its controlled undertakings
‘binding corporate rules’ means personal data protection policies which are adhered to by a controller or processor established on the territory of a Member State for transfers or a set of transfers of personal data to a controller or processor in one or more third countries within a group of undertakings, or group of enterprises engaged in a joint economic activity
‘supervisory authority’ means an independent public authority which is established by a Member State pursuant to Article 51
‘supervisory authority concerned’ means a supervisory authority which is concerned by the processing of personal data because
the controller or processor is established on the territory of the Member State of that supervisory authority
data subjects residing in the Member State of that supervisory authority are substantially affected or likely to be substantially affected by the processing; or",http://gdpr-info.eu/art-4-gdpr/,representative mean natural legal person established union designated controller processor writing pursuant article represents controller processor regard respective obligation regulation enterprise mean natural legal person engaged economic activity irrespective legal form including partnership association regularly engaged economic activity group undertaking mean controlling undertaking controlled undertaking binding corporate rule mean personal data protection policy adhered controller processor established territory member state transfer set transfer personal data controller processor one third country within group undertaking group enterprise engaged joint economic activity supervisory authority mean independent public authority established member state pursuant article supervisory authority concerned mean supervisory authority concerned processing personal data controller processor established territory member state supervisory authority data subject residing member state supervisory authority substantially affected likely substantially affected processing
1,General provisions,4,Definitions,3,"a complaint has been lodged with that supervisory authority
",http://gdpr-info.eu/art-4-gdpr/,complaint lodged supervisory authority
1,General provisions,4,Definitions,4,"‘cross-border processing’ means either
processing of personal data which takes place in the context of the activities of establishments in more than one Member State of a controller or processor in the Union where the controller or processor is established in more than one Member State; or",http://gdpr-info.eu/art-4-gdpr/,crossborder processing mean either processing personal data take place context activity establishment one member state controller processor union controller processor established one member state
1,General provisions,4,Definitions,5,processing of personal data which takes place in the context of the activities of a single establishment of a controller or processor in the Union but which substantially affects or is likely to substantially affect data subjects in more than one Member State.,http://gdpr-info.eu/art-4-gdpr/,processing personal data take place context activity single establishment controller processor union substantially affect likely substantially affect data subject one member state
1,General provisions,4,Definitions,6,"‘relevant and reasoned objection’ means an objection to a draft decision as to whether there is an infringement of this Regulation, or whether envisaged action in relation to the controller or processor complies with this Regulation, which clearly demonstrates the significance of the risks posed by the draft decision as regards the fundamental rights and freedoms of data subjects and, where applicable, the free flow of personal data within the Union
‘information society service’ means a service as defined in point (b) of Article 1(1) of Directive (EU) 2015/1535 of the European Parliament and of the Council (¹)
‘international organisation’ means an organisation and its subordinate bodies governed by public international law, or any other body which is set up by, or on the basis of, an agreement between two or more countries.",http://gdpr-info.eu/art-4-gdpr/,relevant reasoned objection mean objection draft decision whether infringement regulation whether envisaged action relation controller processor complies regulation clearly demonstrates significance risk posed draft decision regard fundamental right freedom data subject applicable free flow personal data within union information society service mean service defined point b article directive eu european parliament council international organisation mean organisation subordinate body governed public international law body set basis agreement two country
2,Principles,5,Principles relating to processing of personal data,1,"Personal data shall be
processed lawfully, fairly and in a transparent manner in relation to the data subject (‘lawfulness, fairness and transparency’)
collected for specified, explicit and legitimate purposes and not further processed in a manner that is incompatible with those purposes; further processing for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes shall, in accordance with Article 89(1), not be considered to be incompatible with the initial purposes (‘purpose limitation’)
adequate, relevant and limited to what is necessary in relation to the purposes for which they are processed (‘data minimisation’)
accurate and, where necessary, kept up to date; every reasonable step must be taken to ensure that personal data that are inaccurate, having regard to the purposes for which they are processed, are erased or rectified without delay (‘accuracy’)
kept in a form which permits identification of data subjects for no longer than is necessary for the purposes for which the personal data are processed; personal data may be stored for longer periods insofar as the personal data will be processed solely for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes in accordance with Article 89(1) subject to implementation of the appropriate technical and organisational measures required by this Regulation in order to safeguard the rights and freedoms of the data subject (‘storage limitation’)
processed in a manner that ensures appropriate security of the personal data, including protection against unauthorised or unlawful processing and against accidental loss, destruction or damage, using appropriate technical or organisational measures (‘integrity and confidentiality’).",http://gdpr-info.eu/art-5-gdpr/,personal data shall processed lawfully fairly transparent manner relation data subject lawfulness fairness transparency collected specified explicit legitimate purpose processed manner incompatible purpose processing archiving purpose public interest scientific historical research purpose statistical purpose shall accordance article considered incompatible initial purpose purpose limitation adequate relevant limited necessary relation purpose processed data minimisation accurate necessary kept date every reasonable step must taken ensure personal data inaccurate regard purpose processed erased rectified without delay accuracy kept form permit identification data subject longer necessary purpose personal data processed personal data may stored longer period insofar personal data processed solely archiving purpose public interest scientific historical research purpose statistical purpose accordance article subject implementation appropriate technical organisational measure required regulation order safeguard right freedom data subject storage limitation processed manner ensures appropriate security personal data including protection unauthorised unlawful processing accidental loss destruction damage using appropriate technical organisational measure integrity confidentiality
2,Principles,5,Principles relating to processing of personal data,2,"The controller shall be responsible for, and be able to demonstrate compliance with, paragraph 1 (‘accountability’).",http://gdpr-info.eu/art-5-gdpr/,controller shall responsible able demonstrate compliance paragraph accountability
2,Principles,6,Lawfulness of processing,1,"Processing shall be lawful only if and to the extent that at least one of the following applies
the data subject has given consent to the processing of his or her personal data for one or more specific purposes
processing is necessary for the performance of a contract to which the data subject is party or in order to take steps at the request of the data subject prior to entering into a contract
processing is necessary for compliance with a legal obligation to which the controller is subject
processing is necessary in order to protect the vital interests of the data subject or of another natural person
processing is necessary for the performance of a task carried out in the public interest or in the exercise of official authority vested in the controller
processing is necessary for the purposes of the legitimate interests pursued by the controller or by a third party, except where such interests are overridden by the interests or fundamental rights and freedoms of the data subject which require protection of personal data, in particular where the data subject is a child.",http://gdpr-info.eu/art-6-gdpr/,processing shall lawful extent least one following applies data subject given consent processing personal data one specific purpose processing necessary performance contract data subject party order take step request data subject prior entering contract processing necessary compliance legal obligation controller subject processing necessary order protect vital interest data subject another natural person processing necessary performance task carried public interest exercise official authority vested controller processing necessary purpose legitimate interest pursued controller third party except interest overridden interest fundamental right freedom data subject require protection personal data particular data subject child
2,Principles,6,Lawfulness of processing,2,Point (f) of the first subparagraph shall not apply to processing carried out by public authorities in the performance of their tasks.,http://gdpr-info.eu/art-6-gdpr/,point f first subparagraph shall apply processing carried public authority performance task
2,Principles,6,Lawfulness of processing,3,Member States may maintain or introduce more specific provisions to adapt the application of the rules of this Regulation with regard to processing for compliance with points (c) and (e) of paragraph 1 by determining more precisely specific requirements for the processing and other measures to ensure lawful and fair processing including for other specific processing situations as provided for in Chapter IX.,http://gdpr-info.eu/art-6-gdpr/,member state may maintain introduce specific provision adapt application rule regulation regard processing compliance point c e paragraph determining precisely specific requirement processing measure ensure lawful fair processing including specific processing situation provided chapter ix
2,Principles,6,Lawfulness of processing,4,"The basis for the processing referred to in point (c) and (e) of paragraph 1 shall be laid down by
Union law; or",http://gdpr-info.eu/art-6-gdpr/,basis processing referred point c e paragraph shall laid union law
2,Principles,6,Lawfulness of processing,5,Member State law to which the controller is subject.,http://gdpr-info.eu/art-6-gdpr/,member state law controller subject
2,Principles,6,Lawfulness of processing,6,"The purpose of the processing shall be determined in that legal basis or, as regards the processing referred to in point (e) of paragraph 1, shall be necessary for the performance of a task carried out in the public interest or in the exercise of official authority vested in the controller. 3That legal basis may contain specific provisions to adapt the application of rules of this Regulation, inter alia: the general conditions governing the lawfulness of processing by the controller; the types of data which are subject to the processing; the data subjects concerned; the entities to, and the purposes for which, the personal data may be disclosed; the purpose limitation; storage periods; and processing operations and processing procedures, including measures to ensure lawful and fair processing such as those for other specific processing situations as provided for in Chapter IX. 4The Union or the Member State law shall meet an objective of public interest and be proportionate to the legitimate aim pursued.",http://gdpr-info.eu/art-6-gdpr/,purpose processing shall determined legal basis regard processing referred point e paragraph shall necessary performance task carried public interest exercise official authority vested controller legal basis may contain specific provision adapt application rule regulation inter alia general condition governing lawfulness processing controller type data subject processing data subject concerned entity purpose personal data may disclosed purpose limitation storage period processing operation processing procedure including measure ensure lawful fair processing specific processing situation provided chapter ix union member state law shall meet objective public interest proportionate legitimate aim pursued
2,Principles,6,Lawfulness of processing,7,"Where the processing for a purpose other than that for which the personal data have been collected is not based on the data subject’s consent or on a Union or Member State law which constitutes a necessary and proportionate measure in a democratic society to safeguard the objectives referred to in Article 23(1), the controller shall, in order to ascertain whether processing for another purpose is compatible with the purpose for which the personal data are initially collected, take into account, inter alia
any link between the purposes for which the personal data have been collected and the purposes of the intended further processing
the context in which the personal data have been collected, in particular regarding the relationship between data subjects and the controller
the nature of the personal data, in particular whether special categories of personal data are processed, pursuant to Article 9, or whether personal data related to criminal convictions and offences are processed, pursuant to Article 10
the possible consequences of the intended further processing for data subjects
the existence of appropriate safeguards, which may include encryption or pseudonymisation.",http://gdpr-info.eu/art-6-gdpr/,processing purpose personal data collected based data subject consent union member state law constitutes necessary proportionate measure democratic society safeguard objective referred article controller shall order ascertain whether processing another purpose compatible purpose personal data initially collected take account inter alia link purpose personal data collected purpose intended processing context personal data collected particular regarding relationship data subject controller nature personal data particular whether special category personal data processed pursuant article whether personal data related criminal conviction offence processed pursuant article possible consequence intended processing data subject existence appropriate safeguard may include encryption pseudonymisation
2,Principles,7,Conditions for consent,1,"Where processing is based on consent, the controller shall be able to demonstrate that the data subject has consented to processing of his or her personal data.",http://gdpr-info.eu/art-7-gdpr/,processing based consent controller shall able demonstrate data subject consented processing personal data
2,Principles,7,Conditions for consent,2,"If the data subject’s consent is given in the context of a written declaration which also concerns other matters, the request for consent shall be presented in a manner which is clearly distinguishable from the other matters, in an intelligible and easily accessible form, using clear and plain language. 2Any part of such a declaration which constitutes an infringement of this Regulation shall not be binding.",http://gdpr-info.eu/art-7-gdpr/,data subject consent given context written declaration also concern matter request consent shall presented manner clearly distinguishable matter intelligible easily accessible form using clear plain language part declaration constitutes infringement regulation shall binding
2,Principles,7,Conditions for consent,3,"The data subject shall have the right to withdraw his or her consent at any time. 2The withdrawal of consent shall not affect the lawfulness of processing based on consent before its withdrawal. 3Prior to giving consent, the data subject shall be informed thereof. 4It shall be as easy to withdraw as to give consent.",http://gdpr-info.eu/art-7-gdpr/,data subject shall right withdraw consent time withdrawal consent shall affect lawfulness processing based consent withdrawal prior giving consent data subject shall informed thereof shall easy withdraw give consent
2,Principles,7,Conditions for consent,4,"When assessing whether consent is freely given, utmost account shall be taken of whether, inter alia, the performance of a contract, including the provision of a service, is conditional on consent to the processing of personal data that is not necessary for the performance of that contract.",http://gdpr-info.eu/art-7-gdpr/,assessing whether consent freely given utmost account shall taken whether inter alia performance contract including provision service conditional consent processing personal data necessary performance contract
2,Principles,8,Conditions applicable to child's consent in relation to information society services,1,"Where point (a) of Article 6(1) applies, in relation to the offer of information society services directly to a child, the processing of the personal data of a child shall be lawful where the child is at least 16 years old. 2Where the child is below the age of 16 years, such processing shall be lawful only if and to the extent that consent is given or authorised by the holder of parental responsibility over the child.3Member States may provide by law for a lower age for those purposes provided that such lower age is not below 13 years.",http://gdpr-info.eu/art-8-gdpr/,point article applies relation offer information society service directly child processing personal data child shall lawful child least year old child age year processing shall lawful extent consent given authorised holder parental responsibility childmember state may provide law lower age purpose provided lower age year
2,Principles,8,Conditions applicable to child's consent in relation to information society services,2,"The controller shall make reasonable efforts to verify in such cases that consent is given or authorised by the holder of parental responsibility over the child, taking into consideration available technology.",http://gdpr-info.eu/art-8-gdpr/,controller shall make reasonable effort verify case consent given authorised holder parental responsibility child taking consideration available technology
2,Principles,8,Conditions applicable to child's consent in relation to information society services,3,"Paragraph 1 shall not affect the general contract law of Member States such as the rules on the validity, formation or effect of a contract in relation to a child.",http://gdpr-info.eu/art-8-gdpr/,paragraph shall affect general contract law member state rule validity formation effect contract relation child
2,Principles,9,Processing of special categories of personal data,1,"Processing of personal data revealing racial or ethnic origin, political opinions, religious or philosophical beliefs, or trade union membership, and the processing of genetic data, biometric data for the purpose of uniquely identifying a natural person, data concerning health or data concerning a natural person’s sex life or sexual orientation shall be prohibited.",http://gdpr-info.eu/art-9-gdpr/,processing personal data revealing racial ethnic origin political opinion religious philosophical belief trade union membership processing genetic data biometric data purpose uniquely identifying natural person data concerning health data concerning natural person sex life sexual orientation shall prohibited
2,Principles,9,Processing of special categories of personal data,2,"Paragraph 1 shall not apply if one of the following applies
the data subject has given explicit consent to the processing of those personal data for one or more specified purposes, except where Union or Member State law provide that the prohibition referred to in paragraph 1 may not be lifted by the data subject
processing is necessary for the purposes of carrying out the obligations and exercising specific rights of the controller or of the data subject in the field of employment and social security and social protection law in so far as it is authorised by Union or Member State law or a collective agreement pursuant to Member State law providing for appropriate safeguards for the fundamental rights and the interests of the data subject
processing is necessary to protect the vital interests of the data subject or of another natural person where the data subject is physically or legally incapable of giving consent
processing is carried out in the course of its legitimate activities with appropriate safeguards by a foundation, association or any other not-for-profit body with a political, philosophical, religious or trade union aim and on condition that the processing relates solely to the members or to former members of the body or to persons who have regular contact with it in connection with its purposes and that the personal data are not disclosed outside that body without the consent of the data subjects
processing relates to personal data which are manifestly made public by the data subject
processing is necessary for the establishment, exercise or defence of legal claims or whenever courts are acting in their judicial capacity
processing is necessary for reasons of substantial public interest, on the basis of Union or Member State law which shall be proportionate to the aim pursued, respect the essence of the right to data protection and provide for suitable and specific measures to safeguard the fundamental rights and the interests of the data subject
processing is necessary for the purposes of preventive or occupational medicine, for the assessment of the working capacity of the employee, medical diagnosis, the provision of health or social care or treatment or the management of health or social care systems and services on the basis of Union or Member State law or pursuant to contract with a health professional and subject to the conditions and safeguards referred to in paragraph 3
processing is necessary for reasons of public interest in the area of public health, such as protecting against serious cross-border threats to health or ensuring high standards of quality and safety of health care and of medicinal products or medical devices, on the basis of Union or Member State law which provides for suitable and specific measures to safeguard the rights and freedoms of the data subject, in particular professional secrecy
processing is necessary for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes in accordance with Article 89(1) based on Union or Member State law which shall be proportionate to the aim pursued, respect the essence of the right to data protection and provide for suitable and specific measures to safeguard the fundamental rights and the interests of the data subject.",http://gdpr-info.eu/art-9-gdpr/,paragraph shall apply one following applies data subject given explicit consent processing personal data one specified purpose except union member state law provide prohibition referred paragraph may lifted data subject processing necessary purpose carrying obligation exercising specific right controller data subject field employment social security social protection law far authorised union member state law collective agreement pursuant member state law providing appropriate safeguard fundamental right interest data subject processing necessary protect vital interest data subject another natural person data subject physically legally incapable giving consent processing carried course legitimate activity appropriate safeguard foundation association notforprofit body political philosophical religious trade union aim condition processing relates solely member former member body person regular contact connection purpose personal data disclosed outside body without consent data subject processing relates personal data manifestly made public data subject processing necessary establishment exercise defence legal claim whenever court acting judicial capacity processing necessary reason substantial public interest basis union member state law shall proportionate aim pursued respect essence right data protection provide suitable specific measure safeguard fundamental right interest data subject processing necessary purpose preventive occupational medicine assessment working capacity employee medical diagnosis provision health social care treatment management health social care system service basis union member state law pursuant contract health professional subject condition safeguard referred paragraph processing necessary reason public interest area public health protecting serious crossborder threat health ensuring high standard quality safety health care medicinal product medical device basis union member state law provides suitable specific measure safeguard right freedom data subject particular professional secrecy processing necessary archiving purpose public interest scientific historical research purpose statistical purpose accordance article based union member state law shall proportionate aim pursued respect essence right data protection provide suitable specific measure safeguard fundamental right interest data subject
2,Principles,9,Processing of special categories of personal data,3,Personal data referred to in paragraph 1 may be processed for the purposes referred to in point (h) of paragraph 2 when those data are processed by or under the responsibility of a professional subject to the obligation of professional secrecy under Union or Member State law or rules established by national competent bodies or by another person also subject to an obligation of secrecy under Union or Member State law or rules established by national competent bodies.,http://gdpr-info.eu/art-9-gdpr/,personal data referred paragraph may processed purpose referred point h paragraph data processed responsibility professional subject obligation professional secrecy union member state law rule established national competent body another person also subject obligation secrecy union member state law rule established national competent body
2,Principles,9,Processing of special categories of personal data,4,"Member States may maintain or introduce further conditions, including limitations, with regard to the processing of genetic data, biometric data or data concerning health.",http://gdpr-info.eu/art-9-gdpr/,member state may maintain introduce condition including limitation regard processing genetic data biometric data data concerning health
2,Principles,10,Processing of personal data relating to criminal convictions and offences,1,Processing of personal data relating to criminal convictions and offences or related security measures based on Article 6(1) shall be carried out only under the control of official authority or when the processing is authorised by Union or Member State law providing for appropriate safeguards for the rights and freedoms of data subjects. 2Any comprehensive register of criminal convictions shall be kept only under the control of official authority.,http://gdpr-info.eu/art-10-gdpr/,processing personal data relating criminal conviction offence related security measure based article shall carried control official authority processing authorised union member state law providing appropriate safeguard right freedom data subject comprehensive register criminal conviction shall kept control official authority
2,Principles,11,Processing which does not require identification,1,"If the purposes for which a controller processes personal data do not or do no longer require the identification of a data subject by the controller, the controller shall not be obliged to maintain, acquire or process additional information in order to identify the data subject for the sole purpose of complying with this Regulation.",http://gdpr-info.eu/art-11-gdpr/,purpose controller process personal data longer require identification data subject controller controller shall obliged maintain acquire process additional information order identify data subject sole purpose complying regulation
