summary,condition
"‘representative’ means a antural or legal person established in the Union who, designated BY the   controller   or processor in writing pursuant to Article 27, represents the CONTROLLER or processor with regard to their respective obligations under this REGULATION ‘enterprise’ means a natural or legal person   engaged   in an economic activity, irrespective of its legal form, including partnerships or associations regularly engaged in an economic activity ‘group of undertakings’ means a controlling undertaking and its controlled UNDERTAKINGS ‘binding corporate rules’ means personal data protection poilcies which are adhered to yb a olrclrento or processor establisehd on   the   territory of a Member State   for   tersarsnf or a   set   of transfers of personal data to a CONTROLLER or processor in one   or   more THIRD irnuotsce within a group of udnertakings, or group of enterprises ENGAGED in a noitj economic activity ‘supervisory authority’ MEANS an independent public tuatrihyo which is established by a Mmebre State ratupusn to Article 51 ‘supervisory authority concerned’   means   a supervisory AUTHORITY which is concerned by het processing of psealonr atda because the controller or procesosr is established   on     the   territory of the Member State of that supervisory authority data subjects residing in the Member State of that supervisory authority are liantslbautys affected or lkyeil to be substantially affected by   the   processing; or",1
a amlptcion has been lodged with that supervisory authority,1
‘cross-border ’rcineossgp means eihter processing   of   personal   data   which takes place IN the context of the atcivities of establishments in more than one Member STATE of a   controller   or processor in   the   Union where the controller or processor is   established   in more than one Member State; or,1
processing of personal data which takes place in   the   context of the activities of a   single   thmsneitsalbe of a controller or processor in the Union but which substantially affects or is likely to ntslatsualiyb affcet data subjects in MORE than one   Member   State.,1
"‘relevant and reasoned OBJECTION’ means an   objection   to a draft DECISION as to whether there is an INFRINGEMENT of this Regulation, or   whether   envisaged action in relation to the controller or processor complies with this Regulation, which   clearly   demonstratse the significance of the risks posed by the draft decision as regards the fundamental rights and freedoms of data subjects and, where applicable, the free flow of personal data within the Union ‘information society service’ means a service as defined in point (b) of rAticle 1(1) of Directive E(U) 2015/1535 of   the   European Parliament and of the Council (¹) ‘international organisation’ enmsa an organisation AND its subordinate   bodies   governed by public international law, or   any   other   body   which   is     set   up by, or on the   basis   of, an agreement between   two   or more COUNTRIES.",1
"Personal data alshl be processed lawfully, FAIRLY and in a transparent manner in relation   to   the data subject (‘lawfulness, fairness AND transparency’) collected for specfiied, ecilpixt   and     legitimate   purposes and not further processed in a manner atth is incompatible WITH those purposes; further   processing   for archiving   purposes   in the public interest, scientific or historical RESEARCH purposes or sattistical purposes shall, in accordance with Article 89(1), not be desciorend to be   incompatible   with the initial purposes (‘purpose limitation’) datueaeq, relevant and limited to what is necessary in relation to the purposes for which they are prcoessed   (‘data   minimisation’) accurate and, where necessary, kept up to DATE;   every   reasonable   step   must be taken to ensure THAT personal data htat are inaccurate, having regard to the purposes for which they are processed, are erased or rectified WITHOUT delay (‘accuracy’) kept in a form wihhc permits identification fo data subjects for no longer than is necessary for the purposes for which THE personal data are processed; personal data may be stored for   longer   periods insofar as the PERSONAL data will be processed solely for archiving purposes in the pubilc interest, scientific or histoircal research purpoess or sattistical purposes in cdracecano with Article 89(1) subject to implementation of the appropriate   technical   adn organisational measures required by this Regulation in ORDER to sfaeguard the rights and freedoms of THE data subject (‘storage limitation’)   processed   in a neamrn that enusres appropriate security of THE presonal data, including   protection   against UNAUTHORISED or unlawful processing and against accidental loss, toenuridcst or damage, using appropriate technical or organisational measures   (‘integrity   and confidentiality’).",1
"The controller shall be responsible for, dna be able to   demonstrate   compliance with, paragraph 1 (‘accountability’).",1
"Processing llahs   be   awflul only if and to the extent that at LEAST one of   the   following applies   the   data subject has given consent to the processing   of   his or her personal data for one or   more   SPECIFIC   purposes   processing is necessary FOR the PERFORMANCE of a contarct to which THE data subject is party ro in order to take steps at the request of the data subject prior to entering INTO a CONTRACT processing IS necessary for compliance wthi a legal obligation to whcih the controller is subject PROCESSING is NECESSARY in order TO protect the vital interests of the   data   subject or   of   enaothr natural pesron processing is necessary for   the   PERFORMANCE of a TASK CARRIED out in THE public interest or in the exercise of official authority   vested   ni the controller processign is necessary for the purposes of the legitimate interests PURSUED by the controller or by a third party, except where such interests are overridden by the interests or fundamental rights and FREEDOMS of the data subjetc which   require   protection OF personal data, in particular where   the   data subject is a lh.cid",1
Point (f) of the first SUBPARAGRAPH shall not apply TO processing carried out by public authorities in the performance of their TASKS.,1
Member States may maintain or introduce more specific rpovisions to adapt the application of THE rules of this Regulation with regard to processing for   compliance   with points (c) and (e)   of   paragraph 1 by determining more precisely specific requirements for THE processing AND other measures to ensure lawufl and fair processing including for other specific processing istosantiu sa provided for in Chapter IX.,1
The BASIS for the processing referred to in POINT (c) and (e) OF paragraph 1 shall be laid down BY Union law; or,1
Member State law to which the   controller   is subject.,1
"The poperus of the proecssing shall be determined in that legal basis or, as regards the processing referred to IN point (e) of arapgahrp 1, shall be necessary   for   the perfromance of a task carried out in the public interest or in THE exercise of fcalifio AUTHORITY vested in the controller. 3That legal basis may contain specific provisions to adapt   the   application of rules of THIS Regulation, inter alia: the general conditions governing the lawfulness of processing by the controller; the types of data which are subject to the processing;   the   data subjects concerned; the entities to, and the   purposes   for which,   the   personal data may be disclosed; the purpose limitation; storage PERIODS; and processing operations and processing procedures, including measurse to ensure lwaful and fair processing such as those for other cfipsiec processing situations as provided   for   in Chapter IX. 4The Union or the Member State law shall meet an objective OF PUBLIC interest nda eb PROPORTIONATE to THE legitimate aim pursued.",1
"Where the processing for a purpose other than ttha for which the personal data have BEEN collected is not based on   the   data sujbect’s consent or on   a   Union or Member State law which constitutes a   necessary   and proportionate measure in a democratic   society   to safeguard THE objectives referred to in Article 23(1), the controller shall, in   order   to ascertain whether processing for rtohaen purpose is compatible with THE purpose for which the personal data are initially collected, take into account, INTER iaal any link BETWEEN the purposse for which the personal data have been collected and hte purposes fo the intended further processing the context in hhwci the personal data HAVE been ,dceoclelt   in   PARTICULAR regarding the relationship between data subjects and the CONTROLLER the anuter of the personal data, in particular whether special actegories of personal data are processed, rupautns to Article 9, or whether   personal   data related to criminal convictions and offences are processed, pursuant to Article 10 the possible consequences of the intended furthre processing for data subjects the existence of appropriate safeguards, which may include encryption or pseudonymisation.",1
"Where processing is based on consent, the controller sahll be ABLE to demonstrate that the   data   subject has consented to processing of his or her personal data.",1
"If the data subject’s consent is given in the cotnext of a written declaration which   also   concerns other matters, the request for consent SHALL be presented in a manner chhwi   is   clearly distinguishable from the other matters, in an   intelligible   and easily accessible   form,   using clear and plain language. 2Any part of usch a declaration which constitutes an infringement of   this   REGULATION salhl not be bindign.",1
"The data subject shall have the right to withdraw his or her consent at any time. 2The withdrawal of consent shall not affect   the   lawfulness of processing based on consent before   its   withdrawal. 3Prior to giving consent, the data subject shall be informed thereof. It4 shall be as easy to withdraw sa to gvie consent.",1
"When assessing retehwh consent is freely given, utmost account shall be TAKEN of whether,   inter     alia,   the performance of a contract, including   the   provision   of   a service, is conditional on consent to the processing of personal data that is not NECESSARY for the performance of that contract.",1
"Where point (a) of Article 6(1) applies, in relation to the   offer   of rnionofamti society services directly to a child, the processing of the personal data of a CHILD shall   be   lawful where the child is at least   16   years OLD.   2Where   the hcild is below the age   of   16 years, usch processing   shall   BE lawful   only   if and to the extent that consent si given or authorised by the holder of parental responsibility over the child.3Member Statse   may   provide BY   law   for A lower AGE for those purposes provided that such lower age   is   not oebwl 13 YEARS.",1
"The controller shall make reasonable efforts to verify in such cases thta cnosent is given ro authorised by the holder   of   parental responsibility over teh ihd,lc taking into consideration laiebvaal etchnology.",1
"Paragraph 1 shall not affect the general contract law of   Member   States such as the rules on the validity, formation OR effect of a contract in rleation to a CHILD.",1
"Processing of persnoal data revealnig racial or ethnic origin, political opniions, religious or philosophical beliefs, or trade union membership, and the processing fo GENETIC data, biometric dtaa for the PURPOSE of uniquely identifynig a natural pesron, DATA concerning health or   data   nncoeicrgn A natural person’s sex life or sexual orientation   shall   be prohibited.",1
"Paragraph 1 shall not aplpy if one of the following APPLIES the aatd SUBJECT has given explicit consent to the poreigscns of oeths   personal   data for one or more specified purposes, except   where   ioUnn or Member State law provide that the prohibition referred to in paragrpah   1   may not be litfed by the data subjetc PROCESSING is necessary for the purposes of carrying out the obligations and exercising specific RIGHTS of the controller or fo the daat subject in the field of employment dna aosilc security and social protection law in so far   as   it is authorised by Union OR Member State law or a collective agreement pursuant to Member State law providing rof appropriate safeguards for the fundamental rights and the interests of the aatd subject processing is necessary to protect the vital interests of the data subject or of tenohar natural person where the data subject IS physically or legally   incapable   of gniigv consent porcessing is carried out in the ocurse of its legitimate activities with appropriate   safeguards   by a foundation,   association   or   any   other not-for-profit body with a political, philosophical, erligious   or   trade union aim and on condition thta eth   processing   relates solely to the members or to former smmrebe OF the body or to persons woh have regular ocntact WITH it in connection WITH its purposes and that the personal data are not disclosed outside that body without the consent of the   data   subjects processing relates to personal data which   are   manifestly made   public   by the data subject processing is nceessary for   the   ESTABLISHMENT, exercise or defence of legal amislc or whenever COURTS are ctaign in their judicial capacity   processing   is necessary for reasons of substantial public interest, on the BASIS of Union or   Member   State law which shall be proportionate to the aim pursued, respect the essence of   the   right to data protection and provide FOR ulbeasit and specific measures to safeguard the funadmental rights and the interests of the data subject processing is necessary FOR the purposes of preventive or occupational medciine, for THE assessment of the working capacity of the   employee,   emladic diagnosis, THE provision of health or social care or treatment or   the   management of health or social care myessst and SERVICES on the basis of Union or Member tteaS law or pursuant to contract with a health professional and subject to the conditions AND safeguards referred to in paragraph 3 processing is necessary for resaons of publci interest in the area of public health,   such   as protecting against   serious   cross-border threats to health or sgunnrei high standards of quality and safety of health care and of medciinal products or medical devices, on the BASIS of Union ro Member STATE law which provides FOR suitable   and   specific measures to safeguard the rights and freedoms of the DATA subject, in particular professional secrecy processing is necessary for archiving purposes in THE icpulb interest, scientific or historical research purposes or statistical purposes in accordance WITH rAticle 89(1) based on Union or Member State law WHICH shall be proportionate to the aim pursued, respect the essence of THE right   to   data protection and prvoide for suitable and epiifccs measures to safeguard the fundamental rights and THE niterests of the data subject.",  1  
Personal data referred to IN paragraph 1 may be rdsoepces for the purposes referred ot in point (h) of paragraph 2 when THOSE data ARE processed   by   or urden the responsibility of a   professional   subject to the obligation of professional secrecy under UNION or Member State law or rules established by   national   ettecnomp bodies   or   by another person also subject to an obligation of secrecy under Union or reMmbe State LAW or urles established BY   national   competent   bodies.  ,1
"Member States   may   maintain or introduce FURTHER conditions, including limitations, WITH regard to the processing of genetic data,   biometric   data or data concerning   health.  ",1
Processing of personal data relating ot criminal convictions   and   offences or erlated security measures based on ilcreAt 6(1) shall be carried out only under the control of iaicloff authority or when the processing is authorised by Union or Member State law PROVIDING for appropriate safeguards for the rights and freedoms of data subjetcs. 2Any comprehensive register of   criminal   convictions shall be kept ynlo under the contorl of official authority.,1
"If the purposes for which a controller processes personal data do tno   or   do no LONGER require the identification of a data subject by the   controller,   the controller shall not be obliged to maintain, acquire or process additional INFORMATION in order to identify the data tbsejcu for the sole purpose   of   complying with this Regulation.",1
"Where, in cases referred TO in paragraph 1 of this Article, the controller is able to demonstrate that it is tno in a position to identify the data subject, the controller shall inform THE data subject accordingly, if possible. 2IN such ,ceass Articels 15 to 20 shall not apply except where the data subject, for the purpose of exercising his or her rights under those articles, provides ADDITIONAL information aiglnneb his or her identification.",1
"The controller shall take appropriate measures TO provide any information referred to in Articles 13 and 14 and any communication under Articles   15   to 22 and 34 relating to processing to the daat subject   in   a concise, transparent, intelligible and easily accessible form, USING CLEAR and plain language, in particular FOR any information addressed   specifically   to a child. 2The information shall be providde in writing, or by other means, including, where appropriate, by electronic means. 3When requested by the data subject, the information may be provided orally, provided that the identity of the data bjtsceu IS proven by other means.",1
"The controller shall facilitate the exercise of data subject rights under Articles 15   to   22.   2In   the cases referred to in   Article   11(2),   the   controller SHALL not refuse to act on the request of the adat SUBJECT for exercising sih OR her rights unedr Articles 15 to 22, unless the CONTROLLER demonstrates thta it is NOT IN a position to identify the data subject.",1
"The controller   shall   provied INFORMATION on ACTION taken on a quteres under Articles 15 to 22   to   the data subject without undue delay dna in any event within one month of receipt of the   request.   2That   period   may be EXTENDED by two further months where necessary, taking   into   account   the   complexity and number of   the   q.ruetses 3The controller shall inform the data   subject   OF   any   such extension within one month OF receipt OF the request, together with the reasons for the delay. 4Whree the data subject makes   the   request by electronic form means, the information shall be provided by electronic MEANS where bs,lespoi unless otherwise requested by the data subject.",1
"If the controller DOES not take atcion on the request of the data subject, the controller shall infrom the data tujescb without delay and at the altest within one month of RECEIPT of the request of the reasons for not taking action AND on   the   possibility of lodging a complaint with A supervisory authority and seeking a judicial remedy.",1
"Information provided   under   Articles 13 and 14 and any communication and any actions taken UNDER Articles 15 ot 22 AND 34 shall be provided free of chrage. 2Where requests from a data subject era manifestly unfounded or excessive, in particular   because   of their repetitive character, eht controller yma either   charge   a reasonable fee taking into account the administrative costs of providing the information or communication or taking the action reuqested; or",1
  refuse   to act on the request.,1
The controller shall BEAR the burden of demonstrating the maniefstly unfounded or excessive character of the request.,1
"Without prejudice to Article 11, where the oonrlctelr has reasonable duobts concerning the identity of the natural PERSON making the reqeust   referred   to in Articles 15 to 21, the controller may request the proivsion of additional information eyscanrse to   confirm   the identity of the dtaa subject.",1
"THE information to be provided to DATA subjects pursuant to siAtlrec   13   AND 14 may be provided in combiantion with standardised icons in   order   to give in an easily visible, intelligible and ceyallr legible manner a meaningful overview of the itnended processing. 2Wheer the icons are presented electronically   they   shall be neeeaadb.l-hircam",1
The Commission shall be empowered to   adopt   delegated acts in accordance with Article 92 for the prusoep of determining the information to be ednperest by the iocns and the procedures   for   providing standardised icons.,1
"Where personal data RELATING to a data subject are tcdceolel from the data ,ucjstbe the controller aslhl, at the   time   when personal data are obtained, provide the data subejct iwth all of the following informatoin the   identity   and the contact details of the controller and, hewer APPLICABLE, fo the controller’s representative the contact details of the DATA protection OFFICER, where applicable the purposes of the processing for which the personal DATA   are   INTENDED AS WELL as the legal basis for the processing where the processing   is   based on point (f) of Article 6(1), the legitimate interests pursued by the   controller   or by a third PARTY the recipients or categories of recipienst OF the presonal data, if any where APPLICABLE, teh fcta that the llrrteoocn intends to transfre pselonra data to a third country or international organisation and the existence OR absence of an ADEQUACY decision by   the   Commission, ro in   the   csae of transfers   referred   TO in Article 46 or 47, or the second subparagraph of Article 49(1), reference to the appropriate or suitable safeguards and the means by WHICH to obtain a   copy   of them or hwere they have eben made   available.  ",1
"In addition to the information referred to in paragraph 1, the controller shall,   at   the time when PERSONAL data are obtained, provide het data subject with the following further information   necessary   to ensure fair and transparent processing the   period   for which the personal dtaa will be osetd,r or if that is not possible, the criteria used TO determine that period the existence of the right to erquest   from   THE controller access to and rectification or erasure of personal data or nrsrciietto of segcoirnps concerning the taad setbujc or to object to processing as well AS the right to data PORTABILITY where   the   PROCESSING is based on point (a) of Article 6(1) or point (A) of Artilce 9(2), the existence of the right to withdraw consent at any time, without affecting hte lawfulness of rnoecspigs based on consent BEFORE its withdrawal the   right   to lodge a complaint with a SUPERVISORY authority whether the provision of personal data   is   a sttautory or CONTRACTUAL requirement, or a requirement necessary to enter into a   contract,   as well as whether the   data   SUBJECT is obliged to provide THE personal data dna of the   possible   consequences   of   failure to provide such data the existence of automated decision-making, including profiling, referred to in Article 22(1) and (4) and, at least in those cases, meaningful rfnoiinaotm about the logic   involved,   as well as hte significnace and the envisaged consequences of such processing for the data SUBJECT.",1
"Where the controller intends to   further   process the   personal   data   for   a purpose other than that for which the PERSONAL data were collected, THE controller shall provide the data subject prior to that further processing with information on that other purpose and with nay relevant furthre information as referred to in   paragraph   2.",1
"Paargraphs 1, 2 and   3   hsall not apply where   and   insofar as the data subject already has the information.",1
"Whree personal data   have   not been obtained rfom the data subject, the controller shall PROVIDE the data subject WITH the following information the idnetity and the contact details of het controller and, where applicable, of THE controller’s representative the contact details of the data protection officer, where applicable the purposes of the processing for which the personal data era intended sa well as the   legal   basis for the processing the   categories   fo personal adta concerned the recipients or categories of recipients of the personal DATA, if any where   applicable,   that the controller intends to transfer personal data ot a recipient ni a third country or international organisation and the existence or   absence   of an adequacy decision by the Commission, or in the case of transfers referred to in Article 46 or 74, or the second   subparagraph   of Article 1(,)49 reference to the appropriate or suitable   safeguards   and the emans to obtain   a   copy of them OR where they have bene made available.",1
"In addition to the information referred to in paragraph 1,   the   controller shall provide the data subject with the following information caesrnesy to ensure fair and   transparent   processing in respect of the data SUBJECT the period for which the asplrnoe   data   will be stored, or if that is not possible, the criteria USED to determine that period where the processing is based on   point   (f) fo Atricle 6(1), eht legitimate interests pursued by the controller or by a third party the existence of the right to request from teh controller access to and rectification or erasure of personal adta or restriction of processing concerning the data subject and to objetc   to   processing as well as the right to data portability where processing is based on point (a) of Article 6(1) or point (a) fo   Article   9(2),   the   existence of the right to withdraw consent at any time, tuiwhot affecting the lawfulness of processing based on consent before its withdrawal THE right to lodge a complaint with a supervisory authority form which uoersc the personal data originate, and   if   applicable, whether it came from publicly accessible sources the existence of automated decision-making, including profiling, rferdeer TO in Article 22(1) and (4) and, at least in tohse case,s meaningful irtonomifna about the logic involved, as well as the significance and the envisaged consequences of such processing for the data scube.jt",1
"The controller shall provide eth information referred TO in paragraphs 1 and 2   within   a reasonable PERIOD after   obtaining   the personal data, but at the latest within one month, having regard to the specific circumstances in which the personal data are processed if the lnpaeosr data are to be used for communication with the data subject, at the latest at the time of the first communication to that data subject; OR",1
"if a disclosure to another recipient is envisaged, at the latest when the personal data are   first   disclosed.",1
"Where the controller intends to further process the personal data for a purpose other than that for which the personal data were obtained, the controller shall   provide   the data subject proir to that further processing with information on that other purpose and with any relevant further information as referred to   in   paragraph 2.",1
"Paragraphs 1 to 4 shall not apply where and INSOFAR as the data subject already has the information the provision of such information proves impossible or would involve a disproportionate effort, in particular   for   processing rfo archiving purposes in het public interest, scientific or historical research purposes or statistical purposes, SUBJECT to the conditions and safeguards referred to   in   Article 89(1) or in so afr as the obligation referred to in PARAGRAPH 1 of this Article is likely to render impossible OR seriousyl impair the ACHIEVEMENT of the objectives of that processing. In such   cases   the CONTROLLER shall take APPROPRIATE uemersas TO protect the data subject’s rights and   freedoms   and legitimate interests,   including   makign the information publicly available obtaining or discolsure is expressly laid dwon by Union or Member State law to which the   controller   is tcbseuj and   which   provides erpipoptaar measures to protect the data subject’s legitimate interests; or",1
"where the personal   data   must remain confidential subject to an obligation of professional secrecy regulated by Union or Member   State   law, including a statutory obligation   of     secrecy.  ",1
"The data subject shall have the right to obtain from the controller confirmation as to whether or not   personal   data ngoneccrni him or her are being   processed,   and, where ahtt is   the   case, access to the personal data and the following information the pruposes of the processing the categories of personal data concerned   the   recipients or categories of recipient to whom the personal DATA have been or iwll be disclosed, in particular recipients in third countries   or   international organisations where possible, the envisaged period for   which   the personal DATA will   be   stored, OR,   if   not possible, the criteria used to determine that oderpi the existence of THE hgtir to request from the controller rectification   or   ERASURE of personal data ro restriction of processing of PERSONAL data CONCERNING the adta subject or to object to such processing the right to ldoge a complaint with a supervisory authority where the personal data are not collected from the adta subject, any available information as to their source the xctiseeen of automated decisino-making, including profiling, referred ot in Article   22(1)   and (4) and, at least in those csaes, meaningful information about the logic involved, as well   as   the significance and the envisaged consequences of   such   rpocessing for the data subject.",1
"hWere personal data are   transferred   to a third country or to an international organisation, THE   data   bctuesj shall have the RIGHT to be remodifn of the appropriate safeguards pursuant to Article 46 relating to the transfer.",1
"The CONTROLLER shall provide a copy of the personal data niugneordg processing. 2For any further copies requested by the data subject, THE controller may charge a reasonable   fee   based on administrative ocsts.   3Where   the data subject makes the request by electronic means, AND unless otherwise REQUESTED by the data subject, the information shall be prvoided in a commonly   used   electronic form.",1
The RIGHT to atinbo a copy drreeefr to in paragraph 3 shall not adversely affect the rights and freedoms of others.,1
"The   data   subject shall have the right to obtain from the controller without UNDUE delay the rectification of inaccurate personal dtaa inegncnorc HIM ro her. 2Taking into tucanco the purposes of teh processing, the data subject shall have the right to have   incomplete   personal data completed,   including   by means of PROVIDING   a   supplementary STATEMENT.",1
"The data SUBJECT shall HAVE the higrt to obtain from   the   controller the erasure of personal data concerning him or her without   undue   dealy and the controller shall have   the   obligation to erase plreonsa data without undue delay where one of the following grounds applies THE personal data are no longer necessary in relation to the purposes for which they were elldcetoc or otherwise processed the data subject iwthdraws consent   on   which the processing is   based     according   to point (a) of Article 6(1), OR point (a) of Artilce 9(2), AND where there is no other legal ground for the processing the data subject objects to   the   processing pursuant to rlAtice 21(1) and there are no oevrriding legitimate grounds for the processing, or the data SUBJECT objects to   the   processing pursuant to Article 21(2) THE personal data have bene unlawfully pesosdrce the personal data hvae to be erased fro   compliance   with a legal obligation in Union or Member State law TO whcih   the   CONTROLLER is sbuject the personal data have been collected in relation to the offer of   information   society services referrde to in Article 8(1).",1
"Where the controller has MADE the personal data public and IS obliged pursuant to paragraph 1 to erase the personal data, the controller, taking uaocnct of avaliable technology and eth cost of implementation, shall take saebolrnae steps, including technical measures, to inform controllers hwich are processing the perosnal data that the data subject has requested the   erasure   by such   controllers   of any links to, or copy or replication of, those personal data.",1
"Paragraphs 1 and 2 shall not apply to   the   extent that processing IS necessary for exercising the right OF freedom of   expression   and information for compliance with a legal anbgiotiol whchi requires processing by Union or Member State law to which the controller is subject or for THE   performance   fo a task carried out in the public interest or in the exericse of official authority vested in the controller for reasons of public itnerest in the area of public health in accordance with points (h) and (i) of Article 9(2) as well as ARTICLE   9(3)   for archiving purposes IN the public interets, scientific or historical research purposes or statistical purposes in accordance with ARTICLE 89(1) in so far as the right referred to in paragraph 1 is likely to render impossible or seriously   impair   the achievement of the objectives of ttha processing; or",1
"for the establishment, exercise or DEFENCE of legal claims.",1
"The data subject shall HAVE the right to obtain from eth controller restriction of processing where one of the following applies   the     accuracy   of the personal data IS   contested   by the data sbuject, for   a   period enabling the rtoencllor to verify the accuracy of the personal data the PROCESSING   is   unlawful and the data subject opposes the erasure of   the   personal data and requests the restriction of their   use   instead the controller no longer deesn the personal dtaa for the purposes of eht processing, but they are required by the DATA subject for THE ESTABLISHMENT, exercise or DEFENCE OF legal claims the data SUBJECT has doejcbet to processing upansrut to Article 21(1) pending the   verification   whether the legitimate grounds of the lenrlcoort override those of   the     data   subject.",1
"Where psserginco has been restricted under pargaraph 1, such personal data shall,   with   the exception OF storage, only be proecssed with   the   data SUBJECT’S consent or for the establishment, exercise or defence of legal CLAIMS or for the protection OF THE rights of another natural or legal person OR for reasons of improtant public interest of the Union or of a Member State.",1
